student_id,student_name,age,gender,course,admission_date,city,grade,marks
60,Student_60,20.0,Male,IT,2022-07-28,Pune,D,90.0
61,Student_61,22.0,Female,Mechanical,2022-12-08,Pune,A,50.0
62,Student_62,20.0,Female,Civil,2023-04-13,Delhi,,
63,Student_63,21.0,,IT,2023-04-01,,A,80.0
64,Student_64,23.0,Male,Mechanical,2023-02-27,,D,50.0
65,Student_65,19.0,Female,IT,2022-06-28,Pune,,
66,Student_66,21.0,Female,Computer Science,2023-01-06,Delhi,,100.0
67,Student_67,23.0,Female,Computer Science,2023-04-08,,B,80.0
68,Student_68,20.0,Female,IT,2022-11-24,Hyderabad,,90.0
69,Student_69,22.0,Female,Computer Science,2022-09-07,Chennai,,50.0
70,Student_70,22.0,,Electrical,2022-06-23,Delhi,,100.0
71,Student_71,19.0,Female,Electrical,2022-11-20,Delhi,D,60.0
72,Student_72,21.0,Male,IT,2022-09-26,Hyderabad,C,70.0
73,Student_73,,Male,ECE,2022-09-20,Delhi,,80.0
74,Student_74,23.0,Female,IT,2022-09-06,Bangalore,C,50.0
75,Student_75,21.0,Female,Mechanical,2022-09-14,Hyderabad,A,100.0
76,Student_76,23.0,Female,Mechanical,2022-08-08,Bangalore,,70.0
77,Student_77,21.0,Male,Computer Science,2023-05-02,Hyderabad,D,60.0
78,Student_78,23.0,Female,Civil,2022-07-31,Bangalore,C,50.0
79,Student_79,19.0,Male,Civil,2022-10-11,Chennai,D,60.0
80,Student_80,21.0,Female,Computer Science,2022-07-17,Chennai,C,100.0
81,Student_81,19.0,Female,Computer Science,2022-11-27,,B,90.0
82,Student_82,22.0,Male,ECE,2022-06-07,Hyderabad,C,80.0
83,Student_83,20.0,Female,Computer Science,2022-06-28,Bangalore,A,90.0
84,Student_84,21.0,Male,Civil,2022-08-07,Bangalore,C,80.0
85,Student_85,21.0,Female,Computer Science,2022-07-12,Chennai,,70.0
86,Student_86,21.0,Male,Civil,2023-03-16,Delhi,,60.0
87,Student_87,19.0,Male,Electrical,2022-10-30,Chennai,C,80.0
88,Student_88,,Male,IT,2022-08-14,Pune,A,70.0
89,Student_89,22.0,Female,ECE,2022-11-20,Pune,,60.0
90,Student_90,20.0,Female,Computer Science,2022-06-01,Bangalore,,80.0
91,Student_91,20.0,Female,Electrical,2022-06-10,Delhi,B,
92,Student_92,22.0,Male,Civil,,Chennai,C,70.0
93,Student_93,22.0,Male,Civil,2023-01-22,Bangalore,,90.0
94,Student_94,19.0,Male,Electrical,,Delhi,C,90.0
95,Student_95,19.0,Male,Civil,2022-08-17,Bangalore,D,70.0
96,Student_96,21.0,Female,Electrical,2022-10-03,,A,90.0
97,Student_97,19.0,Female,IT,2022-09-12,Hyderabad,C,70.0
98,Student_98,22.0,Female,Mechanical,2022-11-04,Chennai,D,90.0
99,Student_99,,Female,Civil,2023-03-16,,D,80.0
100,Student_100,23.0,Male,Electrical,2023-03-30,Pune,,50.0
